01:06.6,236
01:07.6,235
01:08.6,235
01:09.6,215
01:10.6,215
01:11.6,202
01:12.6,202
01:13.6,184
01:14.6,184
01:15.6,184
01:15.6,184
01:16.6,184
01:17.6,184
01:18.6,205
01:19.6,205
01:20.6,193
01:21.6,193
01:22.6,177
01:23.6,177
01:24.6,167
01:25.6,167
01:26.6,180
01:26.6,180
01:27.6,180
01:28.6,239
01:29.6,249
01:30.6,249
01:31.6,249
01:32.6,226
01:33.6,203
01:34.6,203
01:35.6,203
01:36.6,242
01:37.6,242
01:37.6,242
01:38.6,266
01:39.6,266
01:40.5,274
01:41.5,274
01:42.5,279
01:43.5,279
01:44.5,303
01:45.5,303
01:46.5,358
01:47.5,358
01:48.5,809
01:48.5,809
01:49.5,809
01:50.5,1680
01:51.5,1680
01:52.5,2254
01:53.5,2254
01:54.5,2288
01:55.5,2288
01:56.5,1950
01:57.5,1950
01:58.5,1542
01:59.5,1542
01:59.5,1542
02:00.5,1188
02:01.5,1188
02:02.5,950
02:03.5,950
02:04.5,754
02:05.5,754
02:06.5,603
02:07.5,603
02:08.5,528
02:09.5,528
02:10.5,459
02:10.5,459
02:11.5,459
02:12.5,382
02:13.5,382
02:14.5,320
02:15.5,320
02:16.5,302
02:17.5,302
02:18.5,265
02:19.5,265
02:20.5,251
02:21.5,251
02:21.5,251
02:22.5,233
02:23.5,233
02:24.5,203
02:25.5,203
02:26.5,180
02:27.5,180
02:28.5,162
02:29.5,162
02:30.5,164
02:31.5,164
02:32.5,157
02:32.5,157
02:33.5,157
02:34.5,149
02:35.5,149
02:36.5,145
02:37.5,145
02:38.5,137
02:39.5,137
02:40.5,143
02:41.5,143
02:42.4,188
02:43.4,188
02:43.4,188
02:44.5,385
02:45.4,385
02:46.4,600
02:47.4,600
02:48.4,700
02:49.4,700
02:50.4,684
02:51.4,684
02:52.4,591
02:53.4,591
02:54.4,517
02:54.4,517
02:55.4,517
02:56.4,436
02:57.4,436
02:58.4,365
02:59.4,365
03:00.4,324
03:01.4,324
03:02.4,357
03:03.4,357
03:04.4,703
03:05.4,703
03:05.4,703
03:06.4,1239
03:07.4,1239
03:08.4,1386
03:09.4,1386
03:10.4,1272
03:11.4,1272
03:12.4,1072
03:13.4,1072
03:14.4,840
03:15.4,840
03:16.4,636
03:16.4,636
03:17.4,636
03:18.4,515
03:19.4,515
03:20.4,492
03:21.4,492
03:22.4,463
03:23.4,463
03:24.4,445
03:25.4,445
03:26.4,446
03:27.4,446
03:27.4,446
03:28.4,438
03:29.4,438
03:30.4,442
03:31.4,442
03:32.4,448
03:33.4,448
03:34.4,493
03:35.4,493
03:36.4,500
03:37.4,500
03:38.4,527
03:38.4,527
03:39.4,527
03:40.4,542
03:41.4,542
03:42.4,551
03:43.4,551
03:44.4,478
03:45.4,478
03:46.3,420
03:47.3,420
03:48.3,375
03:49.4,375
03:49.4,375
03:50.3,369
03:51.3,369
03:52.3,360
03:53.3,360
03:54.3,346
03:55.3,346
03:56.3,302
03:57.3,302
03:58.3,303
03:59.3,303
04:00.3,275
04:00.3,275
04:01.3,275
04:02.3,245
04:03.3,245
04:04.3,247
04:05.3,247
04:06.3,219
04:07.3,219
04:08.3,229
04:09.3,229
04:10.3,263
04:11.3,263
04:11.3,263
04:12.3,260
04:13.3,260
04:14.3,252
04:15.3,252
04:16.3,250
04:17.3,250
04:18.3,287
04:19.3,287
04:20.3,323
04:21.3,323
04:22.3,344
04:22.3,344
04:23.3,344
04:24.3,563
04:25.3,563
04:26.3,1054
04:27.3,1054
04:28.3,1786
04:29.3,1786
04:30.3,2342
04:31.3,2342
04:32.3,2251
04:33.3,2251
04:33.3,2251
04:34.3,1895
04:35.3,1895
04:36.3,1477
04:37.3,1477
04:38.3,1103
04:39.3,1103
04:40.3,833
04:41.3,833
04:42.3,630
04:43.3,630
04:44.3,507
04:44.3,507
04:45.3,507
04:46.3,435
04:47.3,435
04:48.3,435
04:49.3,404
04:50.3,404
04:51.3,411
04:52.3,359
04:53.3,359
04:54.2,359
04:55.2,302
04:55.2,302
04:56.2,302
04:57.2,258
04:58.2,258
04:59.2,239
05:00.2,239
05:01.2,239
05:02.2,242
05:03.2,242
05:04.2,242
05:05.2,250
05:06.2,250
05:06.2,250
05:07.2,251
05:08.2,251
05:09.2,244
05:10.2,244
05:11.2,240
05:12.2,240
05:13.2,222
05:14.2,222
05:15.2,215
05:16.2,215
05:17.2,212
05:17.2,212
05:18.2,212
05:19.2,197
05:20.2,197
05:21.2,196
05:22.2,196
05:23.2,232
